acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.989,0.267,0.00833,0.596,3,0.104,-33.503,1,0.0498,77.026,0.218,classical
0.911,0.316,0.244,0.816,2,0.182,-18.218,1,0.0431,105.101,0.0642,classical
0.962,0.235,0.0639,0.603,11,0.466,-24.404,0,0.049,120.736,0.0781,classical
0.861,0.581,0.715,0.81,2,0.391,-11.645,0,0.0366,93.616,0.966,classical
0.903,0.177,0.127,0.901,8,0.114,-19.167,1,0.0394,149.698,0.0612,classical
0.938,0.0924,0.0217,0.938,7,0.15,-25.091,1,0.0374,85.471,0.0399,classical
0.9,0.0773,0.0957,0.859,2,0.105,-21.018,1,0.0399,55.165,0.0891,classical
0.786,0.199,0.0677,0.738,0,0.225,-20.879,1,0.039,78.866,0.145,classical
0.675,0.495,0.0249,0.993,3,0.57,-32.122,1,0.0446,114.78,0.112,classical
0.945,0.508,0.305,0.891,8,0.669,-17.125,0,0.0293,103.911,0.587,classical
0.73,0.123,0.225,0.509,4,0.0658,-16.798,1,0.0351,78.132,0.055,classical
0.946,0.339,0.214,0.518,2,0.306,-21.159,0,0.0545,135.103,0.0923,classical
0.822,0.28,0.35,0.908,10,0.157,-13.378,1,0.0392,106.269,0.12,classical
0.984,0.322,0.184,0.902,0,0.0813,-18.312,0,0.0338,107.847,0.356,classical
0.735,0.306,0.0913,0.663,0,0.0982,-20.077,1,0.041,130.818,0.0928,classical
0.912,0.171,0.0163,0.731,5,0.0893,-29.141,1,0.0414,91.204,0.0341,classical
0.837,0.28,0.0801,0.91,0,0.393,-19.353,0,0.0393,80.019,0.238,classical
0.873,0.136,0.0686,0.391,4,0.0911,-23.424,0,0.0465,95.406,0.0358,classical
0.961,0.124,0.0651,0.812,2,0.249,-22.396,1,0.0382,48.529,0.0593,classical
0.963,0.212,0.301,0.0033,2,0.13,-12.505,1,0.0384,84.025,0.0798,classical
0.975,0.156,0.0675,0.000222,1,0.101,-19.141,1,0.0486,57.921,0.0487,classical
0.972,0.28,0.108,0.0715,8,0.153,-16.627,1,0.0416,72.633,0.084,classical
0.979,0.213,0.153,0.012,11,0.0854,-17.132,0,0.0409,80.332,0.0704,classical
0.989,0.224,0.0945,0.764,1,0.102,-16.475,1,0.0426,124.206,0.0574,classical
0.962,0.424,0.214,2.9e-05,10,0.681,-17.688,1,0.0763,113.211,0.282,classical
0.966,0.386,0.128,2.39e-06,6,0.0827,-16.273,1,0.0371,66.187,0.363,classical
0.976,0.389,0.0177,0.956,3,0.111,-28.236,1,0.043,93.252,0.269,classical
0.689,0.274,0.434,0.76,2,0.0705,-11.61,1,0.0433,131.962,0.315,classical
0.901,0.414,0.174,0.912,2,0.105,-14.891,1,0.0312,105.37,0.0737,classical
0.629,0.489,0.317,0.548,1,0.205,-14.773,1,0.0409,70.45,0.296,classical
0.957,0.0752,0.0604,0.902,7,0.0889,-23.96,0,0.0485,76.509,0.034,classical
0.943,0.308,0.147,0.923,2,0.37,-13.618,1,0.0356,98.73,0.38,classical
0.905,0.212,0.0161,0.000325,10,0.123,-28.384,0,0.0455,112.419,0.107,classical
0.828,0.316,0.243,0.0047,2,0.175,-19.476,1,0.0482,84.886,0.662,classical
0.941,0.538,0.0416,0.915,8,0.109,-25.889,1,0.0399,59.173,0.16,classical
0.888,0.604,0.474,0.00167,1,0.295,-15.96,0,0.0439,107.551,0.772,classical
0.906,0.441,0.123,0.9,7,0.0695,-18.151,1,0.0406,130.802,0.296,classical
0.896,0.331,0.131,0.859,2,0.0908,-20.941,1,0.0451,71.255,0.163,classical
0.842,0.443,0.177,0.762,2,0.0998,-17.215,1,0.0361,74.39,0.367,classical
0.962,0.535,0.201,0.869,3,0.0514,-18.774,1,0.0427,138.652,0.491,classical
0.985,0.102,0.0385,0.794,7,0.193,-27.531,1,0.0442,89.121,0.111,classical
0.782,0.304,0.0353,0.856,1,0.153,-40.146,1,0.0406,93.384,0.24,classical
0.981,0.178,0.0157,0.896,2,0.0779,-24.129,1,0.0451,134.332,0.093,classical
0.982,0.137,0.0311,0.972,5,0.0908,-28.208,1,0.0381,179.223,0.063,classical
0.987,0.18,0.0115,0.851,3,0.0991,-30.172,1,0.0399,70.428,0.0861,classical
